Classe Geral,Classe específica,Código IFES,"
ASSUNTO",FASE CORRENTE,FASE INTER- MEDIÁRIA,"
DESTINAÇÃO FINAL","
OBSERVAÇÕES"
123,1232         ,123.2        ,"123.2          AGENDA ACADÊMICA. GUIA DO CALOURO. GUIA DO
ESTUDANTE. MANUAL DO ESTUDANTE",Enquanto vigora,-,"Guarda
Permanente",Guardar apenas um exemplar de cada publicação.
124,124          ,124          ,124            COLAÇÃO DE GRAU. FORMATURA,     5  anos,-,     Eliminação,
124,1241         ,124.1        ,124.1         TERMO OU ATA DE COLAÇÃO DE GRAU,     5  anos,-,"Guarda
Permanente",
125,125          ,125          ,125             VIDA ACADÊMICA DOS ALUNOS DOS CURSOS DE GRADUAÇÃO,,,,
125,1251         ,125.1        ,125.1          INGRESSO,,,,
125,12511        ,125.11       ,125.11        PROCESSO DE SELEÇÃO (VESTIBULAR),,,,
125,125111       ,125.111      ,125.111        PLANEJAMENTO. ORIENTAÇÕES,"Até a homologação
do 
evento",1 ano,"Guarda
Permanente",
125,125112       ,125.112      ,125.112        INSCRIÇÕES,"Até a homologação
do 
evento*",1 ano,     Eliminação,"*Aguardar o término da ação, no caso de ação judicial."
125,125113       ,125.113      ,125.113       CONTROLE DE APLICAÇÃO DE PROVAS,"Até a homologação
do 
evento*",1 ano,     Eliminação,"*Aguardar o término da ação, no caso de ação judicial."
125,125114       ,125.114      ,125.114       CORREÇÃO DE PROVAS,"Até a homologação
do 
evento*",1 ano,Eliminação,"*Aguardar o término da ação, no caso de ação judicial."
125,125115       ,125.115      ,125.115       RECURSOS,"Até a homologação
do 
evento*",1 ano,"Guarda
Permanente","*Aguardar o término da ação, no caso de ação judicial.
Eliminar os documentos após 2 anos do indeferimento."
125,125116       ,125.116      ,125.116        RESULTADOS,"Até a homologação
do 
evento*",1 ano,"Guarda
Permanente","*Aguardar o término da ação, no caso de ação judicial."
125,12512        ,125.12       ,125.12         REINGRESSO. ADMISSÃO DE GRADUADO. PORTADOR DE DIPLOMA. OBTENÇÃO DE NOVO TÍTULO,       5 anos,-,"Guarda
Permanente",Eliminar os documentos após 2 anos do indeferimento.
125,12513        ,125.13       ,125.13        TRANSFERÊNCIA,,,,
125,125131       ,125.131      ,125.131       TRANSFERÊNCIA VOLUNTÁRIA OU FACULTATIVA,       5 anos,-,"Guarda
Permanente",Eliminar os documentos após 2 anos do indeferimento.
125,125132       ,125.132      ,125.132        TRANSFERÊNCIA EX OFFICIO,       5 anos,-,"Guarda
Permanente",
125,12514        ,125.14       ,"125.14            REOPÇÃO DE CURSO. MUDANÇA DE CURSO.
TRANSFERÊNCIA INTERNA",       5 anos,-,"Guarda
Permanente",Eliminar os documentos após 2 anos do indeferimento.
125,12519        ,125.19       ,125.19        OUTRAS FORMAS DE INGRESSO. ALUNO CONVÊNIO REDE   PÚBLICA.  ALUNO ESPECIAL. ALUNO VISITANTE. CONTINUIDADE DE ESTUDOS. MANDADO JUDICIAL.  MATRÍCULA DE CORTESIA READMISSÃO.  REFUGIADOS POLÍTICOS. REINTEGRAÇÃO REVINCULAÇÃO.,       5 anos,-,"Guarda
Permanente",Eliminar os documentos após 2 anos do indeferimento.
125,1252         ,125.2        ,125.2         REGISTROS ACADÊMICOS,,,,
125,12521        ,125.21       ,125.21        MATRÍCULA. REGISTRO,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",5 anos,   Eliminação,Eliminar os documentos após 2 anos do indeferimento.
125,12522        ,125.22       ,"125.22        INSCRIÇÃO EM DISCIPLINAS. MATRÍCULA SEMESTRAL EM
DISCIPLINA","Enquanto o aluno
mantiver o vínculo com a instituição de ensino",5 anos,  Eliminação,Eliminar os documentos após 2 anos do indeferimento.
125,12524        ,125.24       ,125.24         TRANCAMENTO,,,,
125,125241       ,125.241      ,125.241       DISCIPLINA. MATRÍCULA PARCIAL,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",5 anos,  Eliminação,Eliminar os documentos após 2 anos do indeferimento.
125,125242       ,125.242      ,125.242       TOTAL DE CURSO. MATRÍCULA TOTAL,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",10 anos,  Eliminação,
125,12525        ,125.25       ,125.25         DESLIGAMENTO,,,,
125,125251       ,125.251      ,125.251       ABANDONO DE CURSO,      5  anos,25 anos,  Eliminação,
125,125252       ,125.252      ,125.252       JUBILAÇÃO,      5  anos,25 anos, Eliminação,
125,125253       ,125.253      ,125.253       RECUSA DE MATRÍCULA,     5  anos,25 anos, Eliminação,
125,12526        ,125.26       ,125.26             PRORROGAÇÃO DE PRAZO PARA CONCLUSÃO DO CURSO,     5  anos,25 anos, Eliminação,
125,1253         ,125.3        ,125.3            AVALIAÇÃO ACADÊMICA  ,,,,
125,12531        ,125.31       ,"125.31         PROVAS. EXAMES. TRABALHOS (INCLUSIVE
VERIFICAÇÕES SUPLEMENTARES)","Devolução ao aluno
após o registro das notas",-,-,Eliminar os documentos não devolvidos após 1 ano do registro das notas.
125,12532        ,125.32       ,"125.32         TRABALHO DE CONCLUSÃO DE CURSO. TRABALHO FINAL DE
CURSO","Devolução ao aluno
após o registro das notas",-, Eliminação,Eliminar os documentos não devolvidos após 1 ano do registro das notas.
125,125323       ,125.323      ,125.323       PRORROGAÇÃO DE PRAZO PARA ENTREGA E APRESENTAÇÃO,"Até o registro 
das
notas",1 ano,  Eliminação,
125,12533        ,125.33       ,"125.33        REGISTRO DE CONTEÚDO PROGRAMÁTICO MINISTRADO,
RENDIMENTO E FREQUÊNCIA",10 anos,10 anos,  Eliminação,
125,1253         ,125.3        ,125.3         DISTINÇÃO ACADÊMICA E MÉRITO,     5  anos,-,"Guarda
  Permanente",Eliminar os documentos após 2 anos do indeferimento.
125,1254         ,125.4        ,125.4         DOCUMENTAÇÃO ACADÊMICA,,,,
125,12541        ,125.41       ,125.41        HISTÓRICO ESCOLAR. INTEGRALIZAÇÃO CURRICULAR,Enquanto o aluno mantiver o vínculo com a instituição de ensino,5 anos,"Guarda
  Permanente","Eliminar as versões parciais, cujas informações encontram-se recapituladas na versão integral do histórico escolar."
125,12542        ,125.42       ,125.42        EMISSÃO DE DIPLOMA,,,,
125,125421       ,125.421      ,125.421        EXPEDIÇÃO,       5  anos,5 anos,  Eliminação,"No caso das instituições de ensino que utilizam os assentamentos individuais para formação do processo d e registro de diplomas, utilizar os prazos de guarda e a destinação final dos assentamentos individuais."
125,125422       ,125.422      ,125.422       REGISTRO,      5  anos,5 anos,"Guarda
   Permanente",A documentação de solicitação de registro de diplomas das instituições particulares de ensino superior deverá ser devolvida para as mesmas após o registro. Eliminar os diplomas não entregues 2 anos após a emissão.
125,1254         ,125.4        ,125.4         APOSTILA,      5  anos,5 anos,"Guarda
   Permanente",
125,1254         ,125.4        ,125.4         RECONHECIMENTO E REVALIDAÇÃO,      5   anos,5 anos,"Guarda
  Permanente","Para os casos de indeferimento, a documentação será devolvida ao requerente. Eliminar os documentos não devolvidos após 2 anos do indeferimento.
CPAD: Em reunião realizada no dia 08 de fevereiro de 2012 a comissão aprovou a guarda permanente dos documentos indeferidos."
125,125425       ,125.425      ,125.425       VERIFICAÇÃO DE AUTENTICIDADE,      5  anos,5 anos,  Eliminação,"
"
125,12543        ,125.43       ,"125.43        ASSENTAMENTOS INDIVIDUAIS DOS ALUNOS (DOSSIÊS
DOS ALUNOS)","Enquanto o aluno
mantiver o vínculo com a instituição de ensino",*,  Eliminação,*O prazo total de guarda dos documentos é de 100 anos.
125,1255         ,125.5        ,125.5          REGIME DE EXERCÍCIO DOMICILIAR,,,,
125,12551        ,125.51       ,125.51        ALUNA GESTANTE,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",2 anos,  Eliminação,
125,12552        ,125.52       ,"125.52        ALUNO PORTADOR DE AFECÇÕES, INFECÇÕES E
TRAUMATISMOS","Enquanto o aluno
mantiver o vínculo com a instituição de ensino",2 anos, Eliminação,
125,1256         ,125.6        ,125.6         MONITORIAS. ESTÁGIOS NÃO OBRIGATÓRIOS. PROGRAMAS DE INICIAÇÃO À DOCÊNCIA,,,,
125,12561        ,125.61       ,125.61         MONITORIAS,    3  anos,2 anos,"Guarda
  Permanente",
,,,,,,,
125,125611       ,125.611      ,125.611       PROCESSO DE SELEÇÃO,     3  anos,2 anos,   Eliminação,
125,125612       ,125.612      ,"125.612       INDICAÇÃO, ACEITE E SUBSTITUIÇÃO DE MONITOR E
ORIENTADOR",     3  anos,2 anos,   Eliminação,
125,125613       ,125.613      ,125.613       AVALIAÇÃO,     3  anos,2 anos,"Guarda
 Permanente","Eliminar os relatórios parciais, cujas informações encontram-se recapituladas nos relatórios finais."
125,12562        ,125.62       ,125.62        ESTÁGIOS NÃO OBRIGATÓRIOS,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",2 anos,  Eliminação,
125,1258         ,125.8        ,"125.8         REGIME DISCIPLINAR DOS ALUNOS: PENALIDADES
(ADVERTÊNCIA OU REPREENSÃO, SUSPENSÃO E EXPULSÃO)",Até a conclusão do caso,10 anos,Guarda permanente,"A produção, manuseio, consulta,transmissão, manutenção e guarda de dados, documentos e informações relativos à vida privada, à honra e a imagem dos alunos deverão observar medidas especiais de segurança, conforme legislação em vigor."
130,130          ,130          ,130           CURSOS DE PÓS-GRADUAÇÃO STRICTO SENSU (INCLUSIVE NA MODALIDADE A DISTÂNCIA),,,,
131,131          ,131          ,"131           CONCEPÇÃO, ORGANIZAÇÃO E FUNCIONAMENTO DOS CURSOS DE PÓS-GRADUAÇÃO STRICTO SENSU",,,,
131,1311         ,131.1        ,131.1         PROJETO PEDAGÓGICO DOS CURSOS,Enquanto        vigora,-," Guarda
   Permanente",
131,1312         ,131.2        ,131.2         CRIAÇÃO DE CURSOS. CRIAÇÃO DE PROGRAMAS,Até a homologação do ato,5 anos,"Guarda
  Permanente",
131,13121        ,131.21       ,131.21        AUTORIZAÇÃO. RECONHECIMENTO. RENOVAÇÃO DE RECONHECIMENTO,Até a homologação do ato,5 anos,"Guarda
  Permanente",
131,1313         ,131.3        ,131.3          DESATIVAÇÃO DE CURSOS. EXTINÇÃO DE CURSOS,Até a homologação do ato,5 anos,"Guarda
  Permanente",
131,1314         ,131.4        ,131.4          CREDENCIAMENTO PARA ORIENTAÇÃO,      5 anos,10 anos,     Eliminação,
132,132          ,132          ,132             PLANEJAMENTO E ORGANIZAÇÃO CURRICULAR,,,,
132,1321         ,132.1        ,132.1          ESTRUTURA DO CURRÍCULO (GRADE OU MATRIZ CURRICULAR),Enquanto vigora,-," Guarda
Permanente",
132,1322         ,132.2        ,132.2           REFORMULAÇÃO CURRICULAR (INCLUSIVE CRIAÇÃO DE NOVAS ÁREAS DE CONCENTRAÇÃO),Enquanto vigora,-," Guarda
    Permanente",
132,1323         ,132.3        ,132.3           DISCIPLINAS: PROGRAMAS DIDÁTICOS,Enquanto vigora,-," Guarda
    Permanente",
132,13231        ,132.31       ,132.31        OFERTA DE DISCIPLINAS,     5 anos,5 anos,   Eliminação,
133,133          ,133          ,133            PLANEJAMENTO DA ATIVIDADE ACADÊMICA,Enquanto vigora,-,"Guarda
   Permanente",
134,134          ,134          ,134            VIDA ACADÊMICA DOS ALUNOS DOS CURSOS DE PÓS-GRADUAÇÃO STRICTO SENSU,,,,
134,1341         ,134.1        ,134.1         INGRESSO,,,,
134,13411        ,134.11       ,134.11        PROCESSO DE SELEÇÃO,,,,
134,134111       ,134.111      ,134.111       PLANEJAMENTO. ORIENTAÇÕES,Até a homologação do ato,1 ano,"Guarda
  Permanente",
134,134112       ,134.112      ,134.112       INSCRIÇÕES,Até a homologação do evento*,1 ano,   Eliminação,"*Aguardar o término da ação, no caso de ação judicial."
134,134113       ,134.113      ,134.113       CONTROLE DE APLICAÇÃO DE PROVAS,Até a homologação do evento*,1 ano,    Eliminação,"*Aguardar o término da ação, no caso de ação judicial."
134,134114       ,134.114      ,134.114         CORREÇÃO DE PROVAS,Até a homologação do evento*,1 ano,    Eliminação,"*Aguardar o término da ação, no caso de ação judicial."
134,134115       ,134.115      ,134.115        RECURSOS,Até a homologação do evento*,1 ano,"Guarda
Permanente","*Aguardar o término da ação, no caso de ação judicial. Eliminar os documentos após 2 anos do indeferimento."
134,134116       ,134.116      ,134.116       RESULTADOS,Até a homologação do evento*,-,"Guarda
Permanente","*Aguardar o término da ação, no caso de ação judicial. Eliminar os documentos após 2 anos do indeferimento."
134,13412        ,134.12       ,134.12        TRANSFERÊNCIA,      5 anos,-,"Guarda
Permanente",Eliminar os documentos após 2 anos do indeferimento.
134,13413        ,134.13       ,134.13        MUDANÇA DE NÍVEL,Enquanto o aluno mantiver o vínculo com a instituição de ensino,-,"Guarda
Permanente",Eliminar os documentos após 2 anos do indeferimento.
134,13419        ,134.19       ,134.19         OUTRAS FORMAS DE INGRESSO ALUNO ESPECIAL REINTEGRAÇÃO,    5  anos,-,"Guarda
Permanente",Eliminar os documentos após 2 anos do indeferimento.
134,1342         ,134.2        ,134.2          REGISTROS ACADÊMICOS,,,,
134,13421        ,134.21       ,134.21         MATRÍCULA. REGISTRO,Enquanto o aluno mantiver o vínculo com a instituição de ensino,5 anos,    Eliminação,Eliminar os documentos após 2 anos do indeferimento.
134,13422        ,134.22       ,"134.22         INSCRIÇÃO EM DISCIPLINAS. MATRÍCULA SEMESTRAL EM
DISCIPLINA","Enquanto o aluno
mantiver o vínculo com a instituição de ensino",5 anos,    Eliminação,Eliminar os documentos após 2 anos do indeferimento.
,,,,,,,
134,13423        ,134.23       ,"134.23        ISENÇÃO DE DISCIPLINAS. DISPENSA DE DISCIPLINAS.
APROVEITAMENTO DE ESTUDOS","Enquanto o aluno
mantiver o vínculo com a instituição de ensino",5 anos,   Eliminação,Eliminar os documentos após 2 anos do indeferimento.
134,13424        ,134.24       ,134.24        TRANCAMENTO,,,,
134,134241       ,134.241      ,134.241       DISCIPLINA. MATRÍCULA PARCIAL,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",5 anos,  Eliminação,Eliminar os documentos após 2 anos do indeferimento.
134,134242       ,134.242      ,134.242        TOTAL DE CURSO. MATRÍCULA TOTAL,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",10 anos,  Eliminação,
134,13425        ,134.25       ,134.25         DESLIGAMENTO,,,,
134,134251       ,134.251      ,134.251       ABANDONO DE CURSO,     5  anos,25 anos, Eliminação,
134,134252       ,134.252      ,134.252       JUBILAÇÃO,     5  anos,25 anos, Eliminação,
134,134253       ,134.253      ,134.253       RECUSA DE MATRÍCULA,     5  anos,25 anos, Eliminação,
134,1343         ,134.3        ,134.3         AVALIAÇÃO ACADÊMICA,,,,
134,13431        ,134.31       ,134.31        PROVAS. EXAMES. TRABALHOS,"Devolução ao aluno
após o registro das notas",-,-,Eliminar os documentos não devolvidos 1 ano após o registro das notas.
134,13432        ,134.32       ,134.32        EXAME DE QUALIFICAÇÃO,,,,
134,134321       ,134.321      ,"134.321        INDICAÇÃO, ACEITE E SUBSTITUIÇÃO DE ORIENTADOR E CO-ORIENTADOR","Até a conclusão do
       curso",1 ano,  Eliminação,
134,134322       ,134.322      ,134.322       BANCAS EXAMINADORAS: INDICAÇÃO E ATUAÇÃO,"Até a conclusão do
       curso",1 ano,   Eliminação,
134,134323       ,134.323      ,134.323        PRORROGAÇÃO DE PRAZO PARA O EXAME DE QUALIFICAÇÃO,"Até a conclusão 
do
       curso",1 ano,   Eliminação,
134,134324       ,134.324      ,134.324        PROJETO DE QUALIFICAÇÃO,"Até a conclusão 
do
        curso",1 ano,"Guarda
Permanente",
134,13433        ,134.33       ,134.33         DEFESA DE DISSERTAÇÃO E TESE,,,,
134,134331       ,134.331      ,"134.331       INDICAÇÃO, ACEITE E SUBSTITUIÇÃO DE ORIENTADOR E CO-ORIENTADOR","Até a conclusão
 do
       curso",1 ano,     Eliminação,
134,134332       ,134.332      ,134.332       BANCAS EXAMINADORAS: INDICAÇÃO E ATUAÇÃO,"Até a conclusão 
do
        curso",1 ano,"Guarda
Permanente",
134,134333       ,134.333      ,134.333        PRORROGAÇÃO DE PRAZO PARA A DEFESA,"Até a conclusão 
do
        curso",1 ano,      Eliminação,
134,134334       ,134.334      ,134.334       DISSERTAÇÃO E TESE,"Até a conclusão
 do
       curso",1 ano,"Guarda
Permanente",
134,13434        ,134.34       ,"134.34         REGISTRO DE CONTEÚDO PROGRAMÁTICO MINISTRADO, RENDIMENTO E FREQUÊNCIA",10 anos,10 anos,     Eliminação,
134,1344         ,134.4        ,134.4          DOCUMENTAÇÃO ACADÊMICA,,,,
134,13441        ,134.41       ,134.41        HISTÓRICO ESCOLAR. INTEGRALIZAÇÃO CURRICULAR,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",5 anos,"Guarda
Permanente","Eliminar as versões parciais, cujas informações encontram-se recapituladas na versão integral do histórico escolar."
134,13442        ,134.42       ,134.42        EMISSÃO DE DIPLOMA,,,,
134,134421       ,134.421      ,134.421       EXPEDIÇÃO,     5 anos,5 anos,   Eliminação,"No caso das instituições de ensino que utilizam os assentamentos individuais para formação do processo de registro de diploma, utilizar os prazos de guarda e destinação dos assentamentos individuais."
,,,,,,,
134,134422       ,134.422      ,134.422       REGISTRO,     5  anos,5 anos,"Guarda
Permanente",A documentação de solicitação deregistro de diplomas das instituições de ensino superior particulares deverá ser devolvida para as mesmas após o registro. Eliminar os diplomas não entregues 2 anos após a emissão.
134,134423       ,134.423      ,134.423       RECONHECIMENTO E REVALIDAÇÃO,    5  anos,5 anos,"Guarda
Permanente","Para os casos de indeferimento, a documentação será devolvida ao requerente. Eliminar os documentos não devolvidos após 2 anos do indeferimento.
CPAD: Em reunião realizada no dia 08 de fevereiro de 2012 a comissão aprovou a guarda permanente dos documentos indeferidos."
134,134424       ,134.424      ,134.424        VERIFICAÇÃO DE AUTENTICIDADE,    5 anos,5 anos,    Eliminação,
134,13443        ,134.43       ,134.43        ASSENTAMENTOS INDIVIDUAIS DOS ALUNOS (DOSSIÊ DOS ALUNOS),"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",*,   Eliminação,*O prazo total de guarda dos documentos é de 100 anos.
134,1345         ,134.5        ,134.5         REGIME DE EXERCÍCIO DOMICILIAR,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",2 anos,  Eliminação,
134,1346         ,134.6        ,134.6         MONITORIAS. ESTÁGIOS NÃO OBRIGATÓRIOS,,,,
134,13461        ,134.61       ,134.61         MONITORIAS,     3  anos,2 anos,"Guarda
  Permanente",
134,134611       ,134.611      ,134.611       PROCESSO DE SELEÇÃO,     3 anos,2 anos,   Eliminação,
134,134612       ,134.612      ,"134.612       INDICAÇÃO, ACEITE E SUBSTITUIÇÃO DE MONITOR E
ORIENTADOR",     3  anos,2 anos,   Eliminação,
134,134613       ,134.613      ,134.613       AVALIAÇÃO,     3  anos,2 anos,"Guarda
  Permanente","Eliminar os relatórios parciais, cujas informações encontram-se recapituladas nos relatórios finais."
134,13462        ,134.62       ,134.62          ESTÁGIOS NÃO OBRIGATÓRIOS,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",2 anos,  Eliminação,
134,13463        ,134.63       ,134.63        FREQUÊNCIA DE MONITORES E ESTAGIÁRIOS,    5  anos,47 anos,  Eliminação,
134,1347         ,134.7        ,134.7         MOBILIDADE ACADÊMICA. MOBILIDADE ESTUDANTIL. INTERCÂMBIO,,,,
134,13471        ,134.71       ,134.71        NACIONAL,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",-,"Guarda
  Permanente","Para os casos de indeferimento, a documentação será devolvida ao requerente. Eliminar os documentos não devolvidos após 2 anos do indeferimento."
"


","


","


","


",,,,
134,13472        ,134.72       ,134.72        INTERNACIONAL,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",-,"Guarda
Permanente","Para os casos de indeferimento, a documentação será devolvida ao requerente. Eliminar os documentos não devolvidos após 2 anos do indeferimento."
134,1348         ,134.8        ,"134.8         REGIME DISCIPLINAR DOS ALUNOS: PENALIDADES
(ADVERTÊNCIA OU REPREENSÃO, SUSPENSÃO E EXPULSÃO)","Até a conclusão 
do
caso",10 anos,"Guarda
Permanente","A produção, manuseio, consulta, transmissão, manutenção e guarda de dados, documentos e informações relativos à vida privada, à honra e a imagem dos alunos deverão observar medidas especiais de segurança, conforme legislação em vigor."
140,140          ,140          ,140           CURSOS DE PÓS-GRADUAÇÃO LATO SENSU (INCLUSIVE NA MODALIDADE A DISTÂNCIA),,,,
141,141          ,141          ,"141           CONCEPÇÃO, ORGANIZAÇÃO E FUNCIONAMENTO DOS CURSOS DE PÓS-GRADUAÇÃO LATO SENSU",,,,
141,1411         ,141.1        ,141.1         PROJETO PEDAGÓGICO DOS CURSOS,Enquanto vigora,-,"Guarda
Permanente",
141,1412         ,141.2        ,141.2         CRIAÇÃO DE CURSOS,"Até a homologação
do
 ato",5 anos,"Guarda
Permanente",
142,142          ,142          ,142            PLANEJAMENTO E ORGANIZAÇÃO CURRICULAR,,,,
142,1421         ,142.1        ,142.1         ESTRUTURA DO CURRÍCULO (GRADE OU MATRIZ CURRICULAR),Enquanto vigora,-,"Guarda
Permanente",
142,1422         ,142.2        ,142.2          REFORMULAÇÃO CURRICULAR,Enquanto vigora,-,"Guarda
Permanente",
142,1423         ,142.3        ,142.3         DISCIPLINAS: PROGRAMAS DIDÁTICOS,Enquanto vigora,-,"Guarda
Permanente",
142,14231        ,142.31       ,142.31        OFERTA DE DISCIPLINAS,     2  anos,-,    Eliminação,
143,143          ,143          ,143           PLANEJAMENTO DA ATIVIDADE ACADÊMICA,Enquanto vigora,-,"Guarda
Permanente",Guardar apenas um exemplar do calendário.
144,144          ,144          ,144           VIDA ACADÊMICA DOS ALUNOS DOS CURSOS DE PÓS-GRADUAÇÃO LATO SENSU,,,,
144,1441         ,144.1        ,144.1         INGRESSO,,,,
144,14411        ,144.11       ,144.11         PROCESSO DE SELEÇÃO,,,,
144,144111       ,144.111      ,144.111          PLANEJAMENTO. ORIENTAÇÕES,"Até a homologação
do 
evento",1 ano,"Guarda
Permanente",
144,144112       ,144.112      ,144.112         INSCRIÇÕES,"Até a homologação
do 
evento*",1 ano,    Eliminação,"*Aguardar o término da ação, no caso de ação judicial."
144,144113       ,144.113      ,144.113        CONTROLE DE APLICAÇÃO DE PROVAS,"Até a homologação
do 
evento*",1 ano,    Eliminação,"*Aguardar o término da ação, no caso de ação judicial."
144,144114       ,144.114      ,144.114          CORREÇÃO DE PROVAS,"Até a homologação
        do 
      evento*",1 ano,    Eliminação,"*Aguardar o término da ação, no caso de ação judicial."
144,144115       ,144.115      ,144.115        RECURSOS,"Até a homologação
do 
evento*",1 ano,"Guarda
Permanente","*Aguardar o término da ação, no caso de ação judicial.
Eliminar os documentos após 2 anos do indeferimento."
144,144116       ,144.116      ,144.116          RESULTADOS,"Até a homologação
do 
evento*",-,"Guarda
Permanente","*Aguardar o término da ação, no caso de ação judicial."
114,11419        ,114.19       ,"114.19         OUTRAS FORMAS DE INGRESSO
ALUNO ESPECIAL REINTEGRAÇÃO",      5  anos,-,"Guarda
Permanente",Eliminar os documentos após 2 anos do indeferimento.
144,1442         ,144.2        ,144.2           REGISTROS ACADÊMICOS,,,,
144,14421        ,144.21       ,144.21         MATRÍCULA. REGISTRO,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",5 anos,Eliminação,Eliminar os documentos após 2 anos do indeferimento.
144,14422        ,144.22       ,144.22          INSCRIÇÃO EM DISCIPLINAS. MATRÍCULA EM DISCIPLINA,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",-,Eliminação,Eliminar os documentos após 2 anos do indeferimento.
144,14423        ,144.23       ,144.23          ISENÇÃO DE DISCIPLINAS. DISPENSA DE DISCIPLINAS. APROVEITAMENTO DE ESTUDOS,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",5 anos,Eliminação,Eliminar os documentos após 2 anos do indeferimento.
144,14424        ,144.24       ,144.24           TRANCAMENTO,,,,
144,144241       ,144.241      ,144.241         DISCIPLINA. MATRÍCULA PARCIAL,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",5 anos,Eliminação,Eliminar os documentos após 2 anos do indeferimento.
144,14442        ,144.42       ,144.42          EMISSÃO DE CERTIFICADO,,,,
144,144421       ,144.421      ,144.421         EXPEDIÇÃO,      5  anos,5 anos,    Eliminação,"No caso das instituições de ensino que utilizam os assentamentos individuais para formação do processo de registro de certificado, utilizar os prazos e a destinação dos assentamentos. individuais."
144,144422       ,144.422      ,"144.422        REGISTRO





,






REGISTRO",      5  anos,5 anos,"Guarda
  Permanente",Eliminar os certificados não entregues 2 anos após a emissão.
144,144423       ,144.423      ,144.423        RECONHECIMENTO E REVALIDAÇÃO,      5  anos,5 anos,"Guarda
 Permanente","Para os casos de indeferimento, a documentação será devolvida ao requerente. Eliminar os documentos não devolvidos após 2 anos do indeferimento.
CPAD: Em reunião realizada no dia 08 de fevereiro de 2012 a comissão aprovou a guarda permanente dos documentos indeferidos."
144,144424       ,144.424      ,144.424       VERIFICAÇÃO DE AUTENTICIDADE,     5  anos,           5 anos,Eliminação,
144,14443        ,144.43       ,144.43        ASSENTAMENTOS INDIVIDUAIS DOS ALUNOS (DOSSIÊS DOS ALUNOS),"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",*,  Eliminação,* O prazo total de guarda dos documentos é de 100 anos.
144,1445         ,144.5        ,144.5         REGIME DE EXERCÍCIO DOMICILIAR,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",2 anos, Eliminação,
